customer_id,customer_name,email,registration_date,customer_type
CUST0001,Chakradhar Modi,abhaprasad@example.com,2026-07-11,REGULAR
CUST0002,Aashi Mammen,jeevika69@example.com,2024-03-11,REGULAR
CUST0003,Saanvi Dhaliwal,strivedi@example.org,2024-06-23,VIP
CUST0004,Ekansh Shetty,qmitra@example.net,2025-09-16,VIP
CUST0005,Bakhshi Shetty,advaithgupta@example.net,2024-03-17,REGULAR
CUST0006,Benjamin Bhardwaj,jacobrattan@example.org,2026-01-21,REGULAR
CUST0007,Charvi Devi,lakshmi55@example.net,2025-09-08,REGULAR
CUST0008,Aryan Cherian,mitradarsh@example.org,2026-07-03,VIP
CUST0009,Urvi Pai,patilhardik@example.org,2024-05-07,REGULAR
CUST0010,Vanya Dube,imaranmore@example.org,2023-10-03,VIP
CUST0011,Nicholas Chakrabarti,lalyoshita@example.net,2025-04-11,REGULAR
CUST0012,Guneet Lala,zaitra79@example.org,2024-05-10,PREMIUM
CUST0013,Aadi Malhotra,baliwahab@example.net,2024-09-11,REGULAR
CUST0014,Qasim Gara,leena71@example.net,2024-10-25,REGULAR
CUST0015,Ayushman Trivedi,ghoshunnati@example.net,2025-04-04,PREMIUM
CUST0016,Baljiwan Chaudhuri,karan80@example.com,2025-10-18,REGULAR
CUST0017,Rehaan Tripathi,ekanshbajaj@example.org,2024-01-24,PREMIUM
CUST0018,Nathaniel Chandra,abava@example.com,2025-06-28,PREMIUM
CUST0019,Lekha Soman,birfinn@example.com,2024-12-17,PREMIUM
CUST0020,Nitesh Shukla,jairaj72@example.com,2024-12-02,REGULAR
CUST0021,Keya Dhar,ishani54@example.org,2025-09-02,VIP
CUST0022,Ishani Korpal,balveerloke@example.com,2024-04-16,PREMIUM
CUST0023,Unni Wagle,baradojas@example.org,2025-08-24,PREMIUM
CUST0024,Qadim Bir,svarty@example.com,2023-08-25,VIP
CUST0025,Mugdha Boase,hkhurana@example.org,2024-05-28,PREMIUM
CUST0026,Balhaar Shankar,karannandini@example.org,2025-05-19,VIP
CUST0027,Yoshita Malhotra,chaudhuriidika@example.com,2023-09-29,VIP
CUST0028,Zashil Sule,purohitethan@example.net,2025-01-25,PREMIUM
CUST0029,Damini Bail,xkamdar@example.com,2024-09-29,REGULAR
CUST0030,Baghyawati Lalla,mlala@example.org,2023-09-08,PREMIUM
CUST0031,Ishanvi Salvi,binasibal@example.net,2024-03-23,VIP
CUST0032,Jeet Dhawan,darameghana@example.org,2023-10-26,REGULAR
CUST0033,Darsh Sastry,sudiksha27@example.org,2024-11-20,REGULAR
CUST0034,Ekansh Srinivasan,deshpandeamruta@example.net,2023-09-16,VIP
CUST0035,Ranveer Jayaraman,ridhikala@example.com,2025-04-04,VIP
CUST0036,Jatin Dave,hemangganesh@example.org,2025-08-14,VIP
CUST0037,Ganga Gour,eesha22@example.net,2025-03-12,VIP
CUST0038,Daniel Johal,zsoman@example.org,2025-06-08,PREMIUM
CUST0039,Nachiket Banik,hmand@example.net,2024-06-29,VIP
CUST0040,Amara Gera,onimandal@example.com,2024-09-08,REGULAR
CUST0041,Samuel Solanki,ysharaf@example.net,2023-10-11,REGULAR
CUST0042,Arya Tripathi,vihaanmadan@example.com,2023-07-21,REGULAR
CUST0043,Dhriti Sastry,achana@example.net,2025-01-01,PREMIUM
CUST0044,Michael Anne,sarthak62@example.net,2024-04-19,REGULAR
CUST0045,Tanvi Kohli,tarakbath@example.com,2025-03-15,VIP
CUST0046,Gaurangi Agrawal,ekalita@example.net,2024-02-20,PREMIUM
CUST0047,Harshil Dass,xkar@example.org,2024-06-09,PREMIUM
