customer_id,customer_name,email,registration_date,customer_type
CUST0001,Veda Deo,yohannankamya@example.org,2023-12-08,REGULAR
CUST0002,Hemangini Gopal,cdyal@example.org,2023-10-19,REGULAR
CUST0003,Gauri Bains,wadhwasanya@example.com,2024-01-05,VIP
CUST0004,Jack Mangat,barkha11@example.net,2025-03-14,VIP
CUST0005,Adya Randhawa,vrinda39@example.com,2024-02-14,REGULAR
CUST0006,Yashvi Hegde,vanand@example.com,2023-09-09,REGULAR
CUST0007,Libni Zachariah,nmutti@example.com,2026-05-27,REGULAR
CUST0008,Aadi Mukhopadhyay,darpanprasad@example.org,2024-06-29,VIP
CUST0009,Amaira Gopal,chaudharirishi@example.com,2023-08-12,REGULAR
CUST0010,Daksha Bansal,avni82@example.net,2024-08-14,VIP
CUST0011,Diya Lall,nakshnadkarni@example.com,2023-08-01,REGULAR
CUST0012,Shivani Sen,oommenunni@example.net,2024-05-14,PREMIUM
CUST0013,Faris Wagle,cmody@example.net,2024-10-03,REGULAR
CUST0014,Urvashi Kota,ekbal91@example.org,2024-06-22,REGULAR
CUST0015,Manthan Subramaniam,surifalak@example.com,2024-09-30,PREMIUM
CUST0016,Triveni Dara,fkurian@example.com,2024-06-03,REGULAR
CUST0017,Ekaraj Arya,jackson64@example.com,2023-09-08,PREMIUM
CUST0018,Theodore Kothari,karpedalbir@example.org,2024-04-21,PREMIUM
CUST0019,Jhalak Joshi,nilima63@example.com,2026-05-27,PREMIUM
CUST0020,Widisha Karan,ramanathangarima@example.net,2026-06-28,REGULAR
CUST0021,Dakshesh Kanda,gaganbalakrishnan@example.org,2025-01-06,VIP
CUST0022,Widisha Bhatnagar,chahalisaiah@example.org,2024-02-02,PREMIUM
CUST0023,Arya Sahota,rishi44@example.net,2023-08-04,PREMIUM
CUST0024,Waida Sood,preddy@example.net,2026-07-02,VIP
CUST0025,Balvan Oommen,osharaf@example.com,2025-11-10,PREMIUM
CUST0026,Balvan Merchant,tejas95@example.net,2024-06-26,VIP
CUST0027,Pranav Sekhon,fdeshmukh@example.com,2025-06-30,VIP
CUST0028,Zilmil Vig,ladmaya@example.net,2025-08-21,PREMIUM
CUST0029,Kavya Soni,ishani71@example.org,2024-05-18,REGULAR
CUST0030,Nihal Pingle,manya57@example.net,2023-11-16,PREMIUM
CUST0031,Tejas Deshpande,fariqbala@example.org,2026-03-29,VIP
CUST0032,Tripti Ramakrishnan,kumerharini@example.com,2025-09-26,REGULAR
CUST0033,Damini Prashad,nirjapatil@example.org,2023-12-08,REGULAR
CUST0034,Warhi Dora,chandleena@example.net,2023-11-10,VIP
CUST0035,Praneel Atwal,bchokshi@example.net,2025-07-04,VIP
CUST0036,Nikita Saxena,somanbaghyawati@example.org,2025-03-21,VIP
CUST0037,Onkar Narayan,wprabhakar@example.net,2024-04-17,VIP
CUST0038,Bahadurjit Chakrabarti,wyadav@example.org,2026-02-11,PREMIUM
CUST0039,Ishita Doshi,udarsh46@example.net,2025-06-30,VIP
CUST0040,Sneha Dube,dayitadugal@example.net,2024-08-08,REGULAR
CUST0041,Zansi Malhotra,lalaashi@example.com,2025-08-01,REGULAR
CUST0042,Anusha Pandya,gaurika01@example.com,2023-12-19,REGULAR
CUST0043,Qadim Mitra,nazarethzilmil@example.net,2024-04-13,PREMIUM
CUST0044,Elijah Sandhu,abhimanyutak@example.com,2024-08-22,REGULAR
CUST0045,Maanav Thakur,ekta96@example.org,2025-05-18,VIP
CUST0046,Indali Dave,qdass@example.com,2026-05-21,PREMIUM
CUST0047,Vrishti Issac,nbala@example.com,2024-05-05,PREMIUM
CUST0048,Ayaan Chakraborty,chandalibni@example.net,2024-04-18,VIP
CUST0049,Champak Oak,pdani@example.org,2025-04-06,PREMIUM
CUST0050,Kavya Krishna,tgoda@example.org,2025-02-25,VIP
CUST0051,Imaran Gara,radhikakar@example.net,2024-07-26,PREMIUM
CUST0052,Tristan Dhillon,lalameghana@example.com,2025-05-15,PREMIUM
CUST0053,Jagrati Sabharwal,indrajitsinha@example.com,2024-08-31,PREMIUM
CUST0054,Laksh Bumb,sganguly@example.net,2026-04-15,REGULAR
CUST0055,Bishakha Sarna,dchaudhry@example.net,2025-08-27,REGULAR
CUST0056,Meera Khanna,kdivan@example.com,2025-02-24,REGULAR
CUST0057,Lila Kurian,ishwar31@example.org,2026-06-23,REGULAR
CUST0058,Teerth Kale,sahotaquincy@example.net,2024-03-25,PREMIUM
CUST0059,Unnati Hegde,duttrajeshri@example.net,2025-03-25,PREMIUM
CUST0060,Shivani Varghese,nsastry@example.org,2025-04-15,PREMIUM
CUST0061,Aashi Batta,ladli91@example.org,2024-07-19,VIP
CUST0062,Aishani Lanka,timothyjaggi@example.net,2024-03-29,REGULAR
CUST0063,Faqid Morar,shaurya29@example.com,2025-10-25,REGULAR
CUST0064,Bhavna Bora,niteshmorar@example.org,2024-04-16,VIP
CUST0065,Amara Pandey,brindasolanki@example.org,2024-04-20,VIP
CUST0066,Megha Comar,patlaradhika@example.com,2023-12-11,PREMIUM
CUST0067,Shaurya Sathe,reva81@example.com,2025-01-02,PREMIUM
CUST0068,Naksh Hayer,radhikanair,2024-08-14,VIP
CUST0069,David Vig,cswaminathan@example.net,2024-12-23,VIP
CUST0070,Prisha Tandon,gerakritika@example.net,2024-10-12,VIP
CUST0071,Omaja Suresh,hritikbalakrishnan@example.com,2024-11-20,VIP
CUST0072,Bakhshi Mander,srinivasanishaan@example.net,2024-03-19,VIP
CUST0073,Abhiram Magar,boaseveda@example.org,2026-04-26,REGULAR
CUST0074,Vihaan Sachdeva,walifalguni@example.org,2024-07-29,REGULAR
CUST0075,Chavvi Agarwal,zdevi@example.com,2025-11-18,VIP
CUST0076,Neelima Dewan,ishanivaidya@example.org,2025-05-07,VIP
CUST0077,Meghana Deol,kgulati@example.org,2023-08-01,REGULAR
CUST0078,Gavin Kannan,nathaniel81@example.net,2026-02-27,PREMIUM
CUST0079,Ladli Jha,janujayohannan@example.org,2023-08-29,PREMIUM
CUST0080,Rayaan Anand,varenyabiswas@example.org,2024-05-24,REGULAR
CUST0081,Bhavna Mander,ggarg@example.org,2025-07-06,REGULAR
CUST0082,Sanaya Prakash,hardik26@example.org,2024-12-17,PREMIUM
CUST0083,Janani Madan,anya96@example.net,2025-07-01,VIP
CUST0084,Upkaar Sura,isaacradhakrishnan@example.com,2025-10-16,REGULAR
CUST0085,Vrishti Vohra,mananmani@example.org,2025-04-19,VIP
CUST0086,Yahvi Jayaraman,yochanapall@example.com,2023-08-04,VIP
CUST0087,Chanchal Sunder,jeremiahbath@example.org,2024-03-06,PREMIUM
CUST0088,Advay Mishra,nkulkarni@example.net,2026-05-24,VIP
CUST0089,Gauri Chaudry,bajwajanaki@example.org,2023-07-18,VIP
CUST0090,Upadhriti Bhavsar,ranbir34@example.com,2026-05-20,PREMIUM
CUST0091,Inaya Wadhwa,horawaida@example.net,2025-12-28,VIP
CUST0092,Utkarsh Purohit,priya85@example.com,2023-10-02,PREMIUM
CUST0093,Damyanti Deol,shravyajayaraman@example.org,2026-03-28,PREMIUM
CUST0094,Geetika Chanda,tamannadara@example.org,2024-08-30,REGULAR
CUST0095,Suhani Garg,ahluwaliaishita@example.net,2025-04-13,REGULAR
CUST0096,Chaaya Saran,champaksaini@example.org,2024-04-23,REGULAR
CUST0097,Inaya Bhakta,veda50@example.org,2024-04-25,REGULAR
CUST0098,Divya Wagle,anirudhdoctor@example.com,2023-12-20,VIP
CUST0099,Ojasvi Nagy,oeshi19@example.com,2025-06-14,REGULAR
CUST0100,Nandini Seshadri,radhagala@example.net,2025-04-25,PREMIUM
CUST0101,Megha Kumar,lpau@example.net,2025-10-02,REGULAR
CUST0102,Harita Sane,ishani91@example.net,2023-10-29,PREMIUM
CUST0103,Aarna Chaudhary,ekavir63@example.com,2024-05-05,REGULAR
CUST0104,Zashil Batra,jagviprakash@example.org,2025-04-26,VIP
CUST0105,Yochana Arya,aachalmody@example.com,2025-08-27,REGULAR
CUST0106,Yug Borra,ishwarvohra@example.org,2025-12-02,PREMIUM
CUST0107,Vedhika Madan,paniniarya@example.com,2023-08-26,REGULAR
CUST0108,Panini Khatri,avidutt@example.org,2023-12-09,PREMIUM
CUST0109,Ekbal Kaur,zgole@example.net,2024-09-17,PREMIUM
CUST0110,Jacob Kulkarni,patlaneha@example.org,2025-10-08,REGULAR
CUST0111,Raagini Chopra,bachittar11@example.com,2024-01-10,VIP
CUST0112,Nathan Lalla,anmol23@example.com,2025-03-16,PREMIUM
CUST0113,Bhavani Sama,fvaidya@example.com,2023-10-09,REGULAR
CUST0114,Udarsh Sahota,kchokshi@example.com,2025-02-18,REGULAR
CUST0115,Meghana Mitra,yzacharia@example.com,2025-05-07,REGULAR
CUST0116,Nilima Halder,alexandermalhotra@example.net,2024-12-31,PREMIUM
CUST0117,Neha Agrawal,vyanjanaamble@example.org,2026-04-27,REGULAR
CUST0118,Eta Swaminathan,nishathaman@example.com,2026-01-06,VIP
CUST0119,Nandini Rama,veda25@example.org,2025-03-24,VIP
CUST0120,Balhaar Bassi,lohit16@example.net,2024-08-19,REGULAR
CUST0121,Ekaraj Bassi,caleb01@example.com,2023-11-24,REGULAR
CUST0122,Ekbal Sodhi,schoudhary@example.com,2025-02-18,PREMIUM
CUST0123,Aayush Tripathi,ktalwar@example.net,2023-10-17,PREMIUM
CUST0124,Azad Ravi,wbose@example.net,2026-03-29,REGULAR
CUST0125,Warjas Sangha,raghavanpavani@example.com,2024-05-26,PREMIUM
CUST0126,Henry Deshpande,chaudhryyauvani@example.com,2024-09-25,PREMIUM
CUST0127,Ijaya Suresh,vasatikavyas@example.org,2026-06-21,VIP
CUST0128,Udyati Upadhyay,surishivani@example.net,2026-06-22,VIP
CUST0129,Banjeet Merchant,chandrankari@example.org,2024-12-13,PREMIUM
CUST0130,Eshana Doshi,bmanne@example.org,2025-05-14,PREMIUM
CUST0131,Jagat Narasimhan,odara@example.org,2025-11-02,REGULAR
CUST0132,Triveni Amble,yiyengar@example.org,2024-08-21,VIP
CUST0133,Bachittar Sarna,ekanshsaraf@example.org,2024-12-14,PREMIUM
CUST0134,Omaja Dayal,mnazareth@example.net,2025-02-19,VIP
CUST0135,Girik Jhaveri,noah58@example.com,2024-10-17,VIP
CUST0136,Wyatt Arora,modimadhav@example.org,2023-11-06,VIP
CUST0137,Niharika Raju,ishwarboase@example.net,2023-08-12,REGULAR
CUST0138,Shivansh Prashad,pahal35@example.net,2024-01-21,REGULAR
CUST0139,Orinder Deo,yatinmani@example.com,2025-01-16,REGULAR
CUST0140,Jagdish Gara,lekha40@example.net,2024-04-07,VIP
CUST0141,Zarna Boase,bainsyatin@example.net,2025-06-07,VIP
CUST0142,Ishaan Raghavan,wsandal@example.net,2025-01-21,REGULAR
CUST0143,Chanakya Mitra,rachanashenoy@example.net,2024-11-04,VIP
CUST0144,Kashish Arya,kabir51@example.org,2025-11-10,PREMIUM
CUST0145,Rayaan Nath,jsandhu@example.com,2024-02-02,REGULAR
CUST0146,Shivani Kunda,oeshi72@example.com,2026-05-29,PREMIUM
CUST0147,Ucchal Agate,nilimataneja@example.com,2026-02-23,PREMIUM
CUST0148,Tejas Mand,janani18@example.net,2023-10-22,VIP
CUST0149,Ekavir Iyer,arinverma@example.net,2025-10-09,PREMIUM
CUST0150,Tanmayi Bhatt,pavani97@example.com,2025-11-26,REGULAR
CUST0151,Pallavi Ghose,wtailor,2024-10-28,VIP
CUST0152,Faris Karan,qadim91@example.net,2025-05-17,REGULAR
CUST0153,Zansi Ganesan,samarthnagar@example.org,2023-11-13,VIP
CUST0154,Rachit Krishnamurthy,wyattsoni@example.net,2024-04-24,PREMIUM
CUST0155,Zarna Bhatia,menonpatrick@example.net,2025-03-12,REGULAR
CUST0156,Ansh Dave,gaurav07@example.com,2024-08-14,REGULAR
CUST0157,Yashica Reddy,ommital@example.com,2024-03-01,VIP
CUST0158,Reyansh Raja,iroy@example.net,2025-04-14,VIP
CUST0159,Chaman Madan,chakrabortylekha@example.com,2024-06-27,VIP
CUST0160,Lakshmi Cherian,udubey@example.net,2025-11-05,VIP
CUST0161,Netra Chawla,rboase@example.net,2026-04-11,PREMIUM
CUST0162,Michael Bhatia,rayaangala@example.com,2025-09-20,REGULAR
CUST0163,Aachal Gera,butalachatresh@example.org,2025-12-28,REGULAR
CUST0164,Omkaar Borah,guneet25@example.org,2024-03-08,REGULAR
CUST0165,Ansh Narayan,upadhyaytristan@example.com,2024-03-11,REGULAR
CUST0166,Shivani Soni,gollaanirudh@example.org,2024-04-18,VIP
CUST0167,Ranveer Apte,darpanpant@example.org,2026-02-22,PREMIUM
CUST0168,Gaurangi Arora,ethan88@example.net,2025-09-27,VIP
CUST0169,Wridesh Kuruvilla,daveqasim@example.net,2025-04-03,VIP
CUST0170,Anamika Kannan,ekiyakeer@example.com,2025-05-03,REGULAR
CUST0171,Abhiram Viswanathan,kadakiaraghav@example.com,2024-09-12,PREMIUM
CUST0172,Irya Tata,mitalitak@example.com,2024-03-10,REGULAR
CUST0173,Azaan Bhargava,echakraborty,2023-09-07,VIP
CUST0174,Ekapad Dhawan,qabilsha@example.org,2026-04-24,REGULAR
CUST0175,Andrew Krishna,neelimashanker@example.net,2024-05-10,VIP
CUST0176,Ishani Chacko,warinderrau@example.net,2024-01-03,VIP
CUST0177,Harsh Wason,snehasabharwalexample.org,2023-07-17,VIP
CUST0178,Tarak Choudhury,dsachar@example.com,2024-02-02,VIP
CUST0179,Gagan Sen,christopherbahri@example.org,2026-02-13,PREMIUM
CUST0180,Noah Dubey,forumsanghvi@example.com,2026-02-23,REGULAR
CUST0181,Sachi Mallick,bhavya68@example.com,2024-06-01,REGULAR
CUST0182,Bhavya Bora,darjatin@example.net,2023-10-07,REGULAR
CUST0183,Ekani Chaudry,parekhxalak@example.com,2025-11-29,REGULAR
CUST0184,Charvi Lala,vbalay@example.com,2024-05-02,VIP
CUST0185,Zashil Saran,jeremiahtoor@example.net,2024-12-30,VIP
CUST0186,Agastya Kata,qasimbassi@example.org,2024-07-06,PREMIUM
CUST0187,Harita Misra,gom@example.net,2025-02-06,VIP
CUST0188,Viraj Halder,fvarma@example.net,2023-11-06,REGULAR
CUST0189,Abhiram Pall,niharika91@example.com,2023-11-08,REGULAR
CUST0190,George Bassi,baloscar@example.com,2024-10-10,REGULAR
CUST0191,Saumya Krishna,sarraffalak@example.com,2026-05-20,PREMIUM
CUST0192,Vinaya Mangal,alka95@example.net,2024-12-20,PREMIUM
CUST0193,Ishaan Kar,adityakari@example.net,2026-03-27,VIP
CUST0194,Divya Wason,twali@example.com,2026-02-23,PREMIUM
CUST0195,Pavani Nazareth,jackkadakia@example.com,2026-04-10,VIP
CUST0196,Sanaya Dora,gaurika32@example.org,2026-01-13,REGULAR
CUST0197,Vidhi Soman,duajanuja@example.com,2023-10-13,REGULAR
CUST0198,Alka Deo,dorahema@example.org,2023-11-18,PREMIUM
CUST0199,Ojas Sodhi,qpant@example.com,2024-03-21,REGULAR
CUST0200,Priya Sangha,nikita21@example.com,2024-09-14,VIP
CUST0201,Zaid Saini,farhan65@example.net,2023-12-07,PREMIUM
CUST0202,Ekantika Mani,devika80@example.com,2024-01-21,REGULAR
CUST0203,Laban Basak,joshua15@example.org,2023-10-01,PREMIUM
CUST0204,Laksh Nadig,puriisaiah@example.net,2023-08-15,VIP
CUST0205,Wahab Ray,atwaljeevika@example.net,2024-05-16,VIP
CUST0206,Adya Soni,mbawa@example.org,2024-09-15,REGULAR
CUST0207,Warda Dayal,ryanmangal@example.com,2023-10-04,PREMIUM
CUST0208,Arya Parsa,osachdev@example.com,2025-02-22,PREMIUM
CUST0209,Vrinda Som,waida95@example.org,2025-07-19,VIP
CUST0210,Kala Ganguly,comartarak@example.org,2024-08-02,VIP
CUST0211,Nitara Sahota,jnagar@example.org,2023-11-09,PREMIUM
CUST0212,Rishi Pandit,udyatizacharia@example.net,2023-09-09,VIP
CUST0213,Mohini Gaba,fgara@example.com,2026-05-04,VIP
CUST0214,Rachana Sastry,jraman@example.com,2026-07-05,REGULAR
CUST0215,Nachiket Merchant,chadhadarika@example.net,2026-06-25,REGULAR
CUST0216,Triya Subramaniam,mvarma@example.net,2025-09-19,VIP
CUST0217,Ishaan Devan,vsamra@example.com,2024-12-07,VIP
CUST0218,Aarush Sarna,samarsom@example.com,2025-07-24,REGULAR
CUST0219,Zinal Gara,pauranveer@example.net,2025-03-12,REGULAR
CUST0220,Triveni Sanghvi,vigjairaj@example.org,2025-08-17,PREMIUM
CUST0221,Wriddhish Das,krisha51@example.com,2025-05-14,VIP
CUST0222,Jonathan Kumer,lchokshi@example.com,2024-02-16,VIP
